Id,SalePrice
1461,122617.4021051671
1462,163343.82416893129
1463,176877.98931723306
1464,187166.48799335555
1465,187247.2410897741
1466,174592.42871290777
1467,170045.9416984377
1468,166990.11786647738
1469,187806.89838959332
1470,123161.83235707451
1471,192098.59023458394
1472,93046.84054905087
1473,93480.23220439428
1474,150316.96690418193
1475,115416.82508437955
1476,366765.3932115439
1477,250285.2536616993
1478,281338.2064058139
1479,241732.99252166893
1480,492876.64846739126
1481,318820.3809987952
1482,205445.86868629119
1483,179128.28696080923
1484,165591.04544197104
1485,180358.35412513342
1486,189870.5358303304
1487,335154.1183820397
1488,239301.9896536843
1489,199315.94908707778
1490,206555.43329187363
1491,186802.34004060566
1492,96439.31029410538
1493,184613.23596665793
1494,296261.6535461757
1495,293040.18242575263
1496,221361.9221302057
1497,184784.2579651857
1498,163866.28788727493
1499,157654.50848075814
1500,156332.61405816965
1501,174451.33975656386
1502,153872.88346449094
1503,266831.4913498531
1504,233983.4864750784
1505,219885.58345551055
1506,189395.81259771006
1507,252986.33363888023
1508,203960.04455709804
1509,161798.49614222418
1510,151412.6667962266
1511,152518.5528313785
1512,169383.5621647756
1513,147393.75335900247
1514,149893.83083661334
1515,194561.57372613208
1516,154902.94272166982
1517,158715.5922892343
1518,134086.8360896596
1519,218484.00433651148
1520,136559.20036672434
1521,140549.35911497058
1522,164833.49597323814
1523,114528.76620228155
1524,123064.15750481353
1525,122824.5228699177
1526,119084.99487009899
1527,105568.94747953328
1528,135190.46785377446
1529,146762.6636630411
1530,175982.26069620854
1531,115186.9306003224
1532,99596.50631612832
1533,143223.00726659797
1534,121631.53019096825
1535,146595.87194198824
1536,110243.20527983752
1537,57824.930474301436
1538,156661.38563422122
1539,200097.62002425513
1540,104330.50097766735
1541,138675.25901277436
1542,140655.92369760846
1543,218348.4099305285
1544,77747.03783115925
1545,110958.36071970857
1546,128382.16448557582
1547,129678.07507893057
1548,136067.29046555798
1549,112313.00472859568
1550,131217.83596655718
1551,112946.03467245025
1552,134404.34785978348
1553,145505.00770642905
1554,123504.92626556307
1555,164697.14357064146
1556,96351.54256301286
1557,107924.50577269943
1558,95418.37514505119
1559,86803.25331630814
1560,136766.252154167
1561,125392.41193858448
1562,127933.96066439406
1563,120759.3171739554
1564,158931.96195080742
1565,143786.85291028323
1566,231454.66388204825
1567,70720.24005870742
1568,230895.68172581735
1569,124885.82208000802
1570,134508.25647839872
1571,120005.527999125
1572,144771.63234213408
1573,237366.88191375416
1574,113054.404162171
1575,215139.05590676758
1576,223376.35901114388
1577,189165.73126044046
1578,136916.34342586514
1579,139612.16666891112
1580,189942.61951827758
1581,143656.41545821956
1582,126298.9918940533
1583,319333.7045250627
1584,222362.45859809272
1585,141134.20031249904
1586,67722.79356385235
1587,103480.10518978052
1588,154833.51357641054
1589,103177.62335865539
1590,133579.64495182605
1591,99909.7608798822
1592,112812.35772580131
1593,123250.66381118966
1594,134993.53188982664
1595,109242.32894673344
1596,229895.8666847535
1597,184295.4788066634
1598,200771.55354183388
1599,168004.53535853417
1600,165260.25911176903
1601,65541.89473321757
1602,110364.64475850885
1603,85364.6285980311
1604,273741.6220383065
1605,239910.7824126556
1606,169076.71280269424
1607,173623.86584764678
1608,213510.70022610924
1609,180843.44994325185
1610,151606.05701793128
1611,140766.76882197842
1612,172797.44506217906
1613,156958.76638787054
1614,121887.00307601804
1615,87115.95959852793
1616,79215.46123967796
1617,88168.3090258042
1618,128933.48958365082
1619,133265.72301719472
1620,169012.70798008895
1621,136773.34841729852
1622,143941.2979871062
1623,280216.2865052505
1624,217412.71714596398
1625,126894.19311749202
1626,169840.36661898537
1627,186247.18901028988
1628,276313.7005468491
1629,178813.00325609822
1630,350043.7549830823
1631,212562.1765600742
1632,239162.9275575307
1633,174422.1862189053
1634,180486.78443378
1635,178045.35868308172
1636,149879.2873765733
1637,186107.95824879364
1638,197435.38570767673
1639,178580.37493743235
1640,258062.2324985683
1641,177670.10605353388
1642,230405.914950757
1643,224826.67812859477
1644,230024.93854426377
1645,183661.77104151621
1646,158750.75297577376
1647,160881.41996134847
1648,132106.88896049012
1649,137802.95547104385
1650,119670.79972056538
1651,124346.37439788194
1652,93694.83926813318
1653,96047.3042307336
1654,155747.0838302033
1655,145707.8152724153
1656,145476.27640269755
1657,156573.32267611613
1658,148153.7387074274
1659,127444.23300966379
1660,149646.37012926655
1661,427755.6831099644
1662,381953.8146025953
1663,372632.31269149104
1664,456408.2524745487
1665,308514.37842030224
1666,328616.55932155525
1667,368663.60960283125
1668,332011.9465094
1669,290587.8299440718
1670,351597.3127879578
1671,264319.9485493001
1672,461994.1947101753
1673,298451.0567140296
1674,253579.75283241048
1675,192026.5671324682
1676,193702.616358084
1677,215617.8192976146
1678,468785.4515706301
1679,398062.22225062316
1680,323604.51182634506
1681,259334.88099265195
1682,316904.2639289464
1683,185481.00226082205
1684,175051.6488322263
1685,173946.34881253008
1686,168889.0857110429
1687,170344.6212379043
1688,185986.64464650452
1689,187255.82407933706
1690,189847.05699640795
1691,182221.1558736582
1692,266279.3269105713
1693,171528.8539531523
1694,180815.67798677747
1695,168775.44618232182
1696,279271.27696186444
1697,170840.98810421207
1698,347801.18349360407
1699,317401.09336983843
1700,243068.9912424573
1701,269628.18364415684
1702,256647.81505508246
1703,250030.979246055
1704,287224.38690792304
1705,224443.24669962903
1706,349789.12040178594
1707,217623.5186504147
1708,211710.0256328081
1709,275657.3109375289
1710,220561.16667933587
1711,255874.19229718775
1712,231042.85361302792
1713,257326.54561476765
1714,224296.6133832505
1715,203236.60471047956
1716,180742.20801247994
1717,177235.21475707283
1718,131596.1542339795
1719,206871.00868254338
1720,237153.0301845565
1721,163968.63391508948
1722,115071.25284207363
1723,151601.29545668807
1724,207500.41420467812
1725,228003.80444080665
1726,186264.34512881204
1727,165433.2657240281
1728,178691.84946346417
1729,164030.38356449382
1730,158625.26405066383
1731,121701.99462558117
1732,127816.92987334744
1733,114261.99150103715
1734,126182.57605449445
1735,129871.28637512916
